test,t,set_L,set_R,vel_L,vel_R
straight_medium,6.7669,-0.5,-0.5,-0.3489,-0.6418
straight_medium,6.7883,-0.5,-0.5,-0.3502,-0.6418
straight_medium,6.8089,-0.5,-0.5,-0.3502,-0.7605
straight_medium,6.8294,-0.5,-0.5,-0.3502,-0.7605
straight_medium,6.8507,-0.5,-0.5,-0.642,-0.7605
straight_medium,6.8714,-0.5,-0.5,-0.642,-0.3496
straight_medium,6.8919,-0.5,-0.5,-0.642,-0.3496
straight_medium,6.9132,-0.5,-0.5,-0.7004,-0.3496
straight_medium,6.9339,-0.5,-0.5,-0.7004,0.0
straight_medium,6.9544,-0.5,-0.5,-0.7004,0.0
straight_medium,6.9757,-0.5,-0.5,-0.3496,0.0
straight_medium,6.9963,-0.5,-0.5,-0.3496,0.0
straight_medium,7.0168,-0.5,-0.5,-0.3496,0.0
straight_medium,7.0381,-0.5,-0.5,-0.6992,0.0
straight_medium,7.0588,-0.5,-0.5,-0.6992,-0.3209
straight_medium,7.0794,-0.5,-0.5,-0.6992,-0.3209
straight_medium,7.101,-0.5,-0.5,-0.6417,-0.3209
straight_medium,7.1217,-0.5,-0.5,-0.6417,-0.3496
straight_medium,7.1423,-0.5,-0.5,-0.6417,-0.3496
straight_medium,7.1637,-0.5,-0.5,-0.3209,-0.3496
straight_medium,7.1844,-0.5,-0.5,-0.3209,-0.7008
straight_medium,7.2049,-0.5,-0.5,-0.3209,-0.7008
straight_medium,7.2263,-0.5,-0.5,-0.349,-0.7008
straight_medium,7.247,-0.5,-0.5,-0.349,-0.3496
straight_medium,7.2675,-0.5,-0.5,-0.349,-0.3496
straight_medium,7.2889,-0.5,-0.5,-0.3495,-0.3496
straight_medium,7.3096,-0.5,-0.5,-0.3495,-1.0472
straight_medium,7.3302,-0.5,-0.5,-0.3495,-1.0472
straight_medium,7.3516,-0.5,-0.5,-0.3848,-1.0472
straight_medium,7.3723,-0.5,-0.5,-0.3848,-0.6418
straight_medium,7.3928,-0.5,-0.5,-0.3848,-0.6418
straight_medium,7.4143,-0.5,-0.5,-0.6418,-0.6418
straight_medium,7.435,-0.5,-0.5,-0.6418,-0.3496
straight_medium,7.4555,-0.5,-0.5,-0.6418,-0.3496
straight_medium,7.4768,-0.5,-0.5,-0.3496,-0.3496
straight_medium,7.4974,-0.5,-0.5,-0.3496,0.0
straight_medium,7.518,-0.5,-0.5,-0.3496,0.0
straight_medium,7.5395,-0.5,-0.5,-0.3209,0.0
straight_medium,7.5602,-0.5,-0.5,-0.3209,-0.7018
straight_medium,7.5808,-0.5,-0.5,-0.3209,-0.7018
straight_medium,7.6022,-0.5,-0.5,-0.324,-0.7018
straight_medium,7.6229,-0.5,-0.5,-0.324,-0.6984
straight_medium,7.6434,-0.5,-0.5,-0.324,-0.6984
straight_medium,7.6648,-0.5,-0.5,-0.701,-0.6984
straight_medium,7.6855,-0.5,-0.5,-0.701,-0.7011
straight_medium,7.706,-0.5,-0.5,-0.701,-0.7011
straight_medium,7.7274,-0.5,-0.5,-0.6419,-0.7011
straight_medium,7.748,-0.5,-0.5,-0.6419,-0.3505
straight_medium,7.7685,-0.5,-0.5,-0.6419,-0.3505
straight_medium,7.7898,-0.5,-0.5,-0.3496,-0.3505
straight_medium,7.8104,-0.5,-0.5,-0.3496,-0.7008
straight_medium,7.8309,-0.5,-0.5,-0.3496,-0.7008
straight_medium,7.8523,-0.5,-0.5,-0.6993,-0.7008
straight_medium,7.873,-0.5,-0.5,-0.6993,-0.9623
straight_medium,7.8934,-0.5,-0.5,-0.6993,-0.9623
straight_medium,7.9147,-0.5,-0.5,-0.3504,-0.9623
straight_medium,7.9354,-0.5,-0.5,-0.3504,-0.7004
straight_medium,7.9559,-0.5,-0.5,-0.3504,-0.7004
straight_medium,7.9773,-0.5,-0.5,-0.6418,-0.7004
straight_medium,7.9979,-0.5,-0.5,-0.6418,-0.3496
straight_medium,8.0184,-0.5,-0.5,-0.6418,-0.3496
straight_medium,8.0398,-0.5,-0.5,-0.3502,-0.3496
straight_medium,8.0604,-0.5,-0.5,-0.3502,-0.3504
straight_medium,8.0809,-0.5,-0.5,-0.3502,-0.3504
straight_medium,8.1022,-0.5,-0.5,-0.3497,-0.3504
straight_medium,8.1229,-0.5,-0.5,-0.3497,-0.3223
straight_medium,8.1434,-0.5,-0.5,-0.3497,-0.3223
straight_medium,8.1647,-0.5,-0.5,-0.6992,-0.3223
straight_medium,8.1854,-0.5,-0.5,-0.6992,-0.3505
straight_medium,8.2059,-0.5,-0.5,-0.6992,-0.3505
straight_medium,8.2272,-0.5,-0.5,-0.3491,-0.3505
straight_medium,8.2478,-0.5,-0.5,-0.3491,-0.6992
straight_medium,8.2683,-0.5,-0.5,-0.3491,-0.6992
straight_medium,8.2897,-0.5,-0.5,-0.7004,-0.6992
straight_medium,8.3104,-0.5,-0.5,-0.7004,0.0
straight_medium,8.3309,-0.5,-0.5,-0.7004,0.0
straight_medium,8.3523,-0.5,-0.5,-0.3504,0.0
straight_medium,8.373,-0.5,-0.5,-0.3504,-0.3505
straight_medium,8.3934,-0.5,-0.5,-0.3504,-0.3505
straight_medium,8.4147,-0.5,-0.5,-0.6928,-0.3505
straight_medium,8.4355,-0.5,-0.5,-0.6928,-0.3496
straight_medium,8.456,-0.5,-0.5,-0.6928,-0.3496
straight_medium,8.4773,-0.5,-0.5,0.0,-0.3496
straight_medium,8.498,-0.5,-0.5,0.0,-0.6993
straight_medium,8.5186,-0.5,-0.5,0.0,-0.6993
